rank,full_name,editorial_team_abbr,primary_position,Fantasy_Score,PTS,REB,AST,ST,BLK,3PTM,FG%,FT%,TO
1,Nikola Jokić,DEN,C,16.85296579233787,2071,892,716,127,45,138,58,80,230
2,Shai Gilgeous-Alexander,OKC,PG,15.682163838524916,2484,379,486,131,77,163,52,90,183
3,Tyrese Haliburton,IND,PG,13.65979675845496,1359,258,673,105,49,218,47,85,120
4,Anthony Edwards,MIN,SG,12.866383059587346,2177,450,359,91,51,320,45,84,249
5,James Harden,LAC,PG,12.66215202795063,1802,456,687,118,55,235,41,87,341
6,Victor Wembanyama,SAS,C,12.376164297818125,1116,506,168,52,176,142,48,84,149
7,Jayson Tatum,BOS,SF,12.350620892650522,1932,623,431,76,38,250,45,81,209
8,Dyson Daniels,ATL,PG,12.178632399368677,1073,449,333,229,55,80,49,59,155
9,Derrick White,BOS,PG,12.007573710672219,1248,341,361,72,80,265,44,84,131
10,Brook Lopez,MIL,C,11.405918162236143,1041,401,143,50,148,139,51,83,84
11,Jaren Jackson Jr.,MEM,PF,11.370176647915468,1641,417,148,92,113,146,49,78,153
12,Karl-Anthony Towns,NYK,PF,11.369288217484726,1759,920,222,71,50,142,53,83,192
13,Stephen Curry,GSW,PG,11.349314237622828,1718,310,421,80,30,311,45,93,200
14,Giannis Antetokounmpo,MIL,PF,11.08539543052929,2036,798,433,58,78,14,60,62,206
15,Evan Mobley,CLE,PF,10.991908501165268,1316,659,226,61,113,85,56,72,145
16,Myles Turner,IND,C,10.931432137506299,1120,471,111,54,144,156,48,77,123
17,Ivica Zubac,LAC,C,10.904519341982422,1340,1010,214,55,90,0,63,66,127
18,Josh Hart,NYK,SG,10.724882467157059,1051,737,453,119,27,84,52,78,158
19,Bam Adebayo,MIA,PF,10.631904168208003,1410,749,337,98,53,79,48,76,161
20,Nikola Vučević,CHI,PF,10.453480579058256,1349,735,256,61,52,129,53,80,119
21,OG Anunoby,NYK,SF,10.433890559855731,1332,358,164,110,65,171,48,81,102
22,Tyler Herro,MIA,PG,10.253668362804811,1840,399,424,69,17,251,47,88,198
23,LeBron James,LAL,SF,10.123610590327312,1710,546,575,70,39,149,51,78,260
24,Donovan Mitchell,CLE,PG,10.041703858184857,1701,322,354,95,17,233,44,82,149
25,Cade Cunningham,DET,PG,9.960847831508765,1830,425,638,71,53,149,47,85,309
26,Jalen Williams,OKC,SG,9.924225878841597,1490,369,354,111,46,124,48,79,150
27,Jarrett Allen,CLE,C,9.881660861526528,1103,798,158,77,73,0,71,72,97
28,Trae Young,ATL,PG,9.87413737596594,1841,236,880,91,12,218,41,88,355
29,Jaden McDaniels,MIN,SF,9.707811765088334,1000,470,163,110,74,100,48,81,95
30,Anthony Davis,DAL,PF,9.671546349081975,1261,590,181,59,110,35,52,78,113
31,Pascal Siakam,IND,SF,9.626150181662812,1578,540,263,70,42,126,52,73,109
32,Alperen Sengun,HOU,C,9.45584009469138,1451,786,372,84,61,21,50,69,194
33,Rudy Gobert,MIN,C,9.444132810548819,866,785,127,56,104,0,67,67,89
34,Chris Paul,SAS,PG,9.388947413641777,723,296,605,103,22,140,43,92,129
35,Jamal Murray,DEN,PG,9.37833222685304,1436,261,403,91,33,156,47,89,138
36,Domantas Sabonis,SAC,C,9.26005771255168,1337,972,423,48,26,65,59,75,202
37,Amen Thompson,HOU,PG,9.23275916445549,970,564,265,97,89,25,56,68,138
38,Darius Garland,CLE,PG,9.222563688711283,1544,214,506,91,11,212,47,88,189
39,Naz Reid,MIN,PF,9.210141425825153,1138,480,181,58,72,175,46,78,108
40,Kevin Durant,HOU,SF,9.15388287011697,1647,374,263,50,77,160,53,84,190
41,Austin Reaves,LAL,PG,9.150033847636035,1475,329,421,81,22,200,46,88,177
42,Devin Booker,PHX,PG,9.122710243396403,1923,305,529,67,16,183,46,89,220
43,Payton Pritchard,BOS,PG,8.963448222121839,1144,307,279,70,14,255,47,84,83
44,Josh Giddey,CHI,PG,8.959046223644812,1022,566,503,84,45,105,46,78,202
45,Jalen Duren,DET,C,8.920242045148637,918,807,209,54,89,0,69,67,136
46,Keegan Murray,SAC,SF,8.902440381360453,942,507,109,61,69,154,44,83,60
47,Scottie Barnes,TOR,PG,8.850472023811342,1252,502,378,93,63,76,45,76,185
48,Desmond Bane,ORL,SG,8.83669093538609,1327,418,369,80,28,164,48,89,169
49,Michael Porter Jr.,DEN,SF,8.834906350005166,1398,540,165,50,38,193,50,77,104
50,Onyeka Okongwu,ATL,PF,8.769536921927232,988,660,168,69,68,48,57,76,90
51,Walker Kessler,UTA,C,8.681671702015839,641,707,97,36,138,6,66,52,86
52,Mikal Bridges,NYK,SG,8.647198732406036,1444,259,306,75,43,164,50,81,132
53,Luka Dončić,LAL,PG,8.611887366419882,1408,409,383,89,21,177,45,78,179
54,Toumani Camara,POR,SG,8.573630585074579,882,450,175,116,50,135,46,72,109
55,Christian Braun,DEN,SG,8.452191449967986,1218,410,205,85,37,89,58,83,81
56,Jalen Green,PHX,PG,8.397381486428767,1723,377,282,71,27,234,42,81,203
57,Keon Ellis,SAC,PG,8.316184104792256,666,212,120,121,63,139,49,85,71
58,Damian Lillard,MIL,PG,8.1090534220579,1447,272,410,70,10,197,45,92,162
59,DeMar DeRozan,SAC,SF,8.075749745059287,1710,298,342,62,32,84,48,86,105
60,Coby White,CHI,PG,7.808484818262732,1509,273,330,69,16,216,45,90,177
61,Tobias Harris,DET,SF,7.792991950835386,1002,432,162,74,57,91,48,86,85
62,Malik Beasley,DET,SG,7.78599509424151,1336,214,139,73,5,319,43,68,83
63,De'Aaron Fox,SAS,PG,7.735706955854541,1459,298,392,91,25,118,46,83,174
64,Zach LaVine,SAC,SG,7.706442749424602,1724,315,310,58,12,239,51,82,208
65,Tyrese Maxey,PHI,PG,7.700319837007404,1369,174,317,91,21,161,44,88,124
66,Jordan Poole,NOP,PG,7.625486086967589,1391,203,303,86,27,235,43,88,204
67,Miles Bridges,CHA,SF,7.599270570472221,1300,481,248,44,45,141,43,87,136
68,Draymond Green,GSW,PF,7.40584604820151,613,414,383,99,70,80,42,69,174
69,Jalen Brunson,NYK,PG,7.3861917570196,1690,187,475,60,8,152,49,82,164
70,Fred VanVleet,HOU,PG,7.335532365338867,844,221,333,94,25,159,38,81,87
71,Tyus Jones,PHX,PG,7.082416679924953,829,196,429,69,8,166,45,90,91
72,Alex Sarr,WAS,PF,7.072899858548711,869,435,161,44,101,105,39,68,114
73,Deni Avdija,POR,SF,7.052218513398989,1219,522,281,71,35,125,48,78,196
74,Devin Vassell,SAS,SG,6.972293604609881,1041,255,183,84,33,158,44,79,88
75,Franz Wagner,ORL,SF,6.946673854111912,1449,342,284,75,21,104,46,87,138
76,Nic Claxton,BKN,C,6.9359519780455186,724,515,157,62,100,5,56,51,87
77,Anfernee Simons,BOS,PG,6.772138450213081,1348,189,337,60,5,215,43,90,143
78,Trey Murphy III,NOP,SG,6.697006644145014,1124,268,188,56,39,158,45,89,103
79,Luguentz Dort,OKC,SG,6.67489056211824,719,293,115,79,39,170,44,72,51
80,Jakob Poeltl,TOR,C,6.628764844615433,824,547,158,66,71,1,63,67,111
81,Malik Monk,SAC,PG,6.624507175406491,1117,245,362,61,38,139,44,86,159
82,Kyrie Irving,DAL,PG,6.60311749067307,1234,240,231,66,23,144,47,92,111
83,Royce O'Neale,PHX,SF,6.520820328849954,680,349,163,67,34,179,42,73,65
84,Russell Westbrook,DEN,PG,6.503380571538993,994,370,457,106,37,94,45,66,242
85,Klay Thompson,DAL,SG,6.431722783828039,1005,246,145,50,30,216,41,90,88
86,Julian Champagnie,SAS,SF,6.416130004814824,815,318,111,61,35,178,42,90,74
87,Goga Bitadze,ORL,C,6.3911437350412115,502,463,137,49,98,3,61,64,72
88,Cason Wallace,OKC,PG,6.364616850536129,568,229,173,120,35,74,47,81,59
89,Jaylen Brown,BOS,SG,6.285446483960145,1398,368,286,73,19,116,46,76,162
90,Quentin Grimes,PHI,SG,6.24198062780485,1092,324,228,74,22,162,47,76,141
91,Yves Missi,NOP,C,6.235452893336013,665,601,99,37,98,0,55,62,82
92,Tari Eason,HOU,SF,6.194170418905776,686,362,83,97,50,63,49,76,65
