player_key,full_name,editorial_team_abbr,display_position,3PTM,AST,BLK,FG%,FGM/A,FT%,FTM/A,PTS,REB,ST,TO,editorial_player_key,editorial_team_full_name,editorial_team_key,editorial_team_url,eligible_positions,eligible_positions_to_add,has_player_notes,has_recent_player_notes,headshot,image_url,injury_note,is_keeper,is_undroppable,player_id,player_notes_last_timestamp,position_type,primary_position,status,status_full,uniform_number,url
454.p.6022,Shai Gilgeous-Alexander,OKC,"PG,SG",163,486,77,.519,860/1656,.898,601/669,2484,379,131,183,nba.p.6022,Oklahoma City Thunder,nba.t.25,https://sports.yahoo.com/nba/teams/oklahoma-city/,"[{'position': 'PG'}, {'position': 'SG'}, {'position': 'G'}, {'position': 'Util'}]","[{'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",1.0,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/hQg_zWPQf89.9VkAAIifHw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6022.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/hQg_zWPQf89.9VkAAIifHw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6022.png,,"{'status': False, 'cost': False, 'kept': False}",0,6022,1750690352.0,P,PG,,,2,https://sports.yahoo.com/nba/players/6022
454.p.5352,Nikola Jokić,DEN,C,138,716,45,.576,786/1364,.800,361/451,2071,892,127,230,nba.p.5352,Denver Nuggets,nba.t.7,https://sports.yahoo.com/nba/teams/denver/,"[{'position': 'C'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/mpIz1JpH4excxqxaFPpWBg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10282024/5352.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/mpIz1JpH4excxqxaFPpWBg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10282024/5352.png,,"{'status': False, 'cost': False, 'kept': False}",0,5352,,P,C,,,15,https://sports.yahoo.com/nba/players/5352
454.p.6404,Tyrese Haliburton,IND,"PG,SG",218,673,49,.473,476/1006,.851,189/222,1359,258,105,120,nba.p.6404,Indiana Pacers,nba.t.11,https://sports.yahoo.com/nba/teams/indiana/,"[{'position': 'PG'}, {'position': 'SG'}, {'position': 'G'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",1.0,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/vb0sieWi0BKxv64oU.bQYQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6404.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/vb0sieWi0BKxv64oU.bQYQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6404.png,Achilles,"{'status': False, 'cost': False, 'kept': False}",0,6404,1750702469.0,P,PG,INJ,Injured (IL-eligible),0,https://sports.yahoo.com/nba/players/6404
454.p.5432,Karl-Anthony Towns,NYK,"PF,C",142,222,50,.526,639/1215,.829,339/409,1759,920,71,192,nba.p.5432,New York Knicks,nba.t.18,https://sports.yahoo.com/nba/teams/new-york/,"[{'position': 'PF'}, {'position': 'F'}, {'position': 'C'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'SF'}, {'position': 'F'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/gWohladRmBeupD44nqpD2g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/5432.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/gWohladRmBeupD44nqpD2g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/5432.png,,"{'status': False, 'cost': False, 'kept': False}",0,5432,,P,PF,,,32,https://sports.yahoo.com/nba/players/5432
454.p.6355,Anthony Edwards,MIN,"SG,SF",320,359,51,.447,721/1612,.837,415/496,2177,450,91,249,nba.p.6355,Minnesota Timberwolves,nba.t.16,https://sports.yahoo.com/nba/teams/minnesota/,"[{'position': 'SG'}, {'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/dBk6DNYzf0Eyr4wCMEdClA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6355.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/dBk6DNYzf0Eyr4wCMEdClA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/6355.png,,"{'status': False, 'cost': False, 'kept': False}",0,6355,,P,SG,,,5,https://sports.yahoo.com/nba/players/6355
454.p.4563,James Harden,LAC,"PG,SG",235,687,55,.410,531/1295,.874,505/578,1802,456,118,341,nba.p.4563,LA Clippers,nba.t.12,https://sports.yahoo.com/nba/teams/la-clippers/,"[{'position': 'PG'}, {'position': 'SG'}, {'position': 'G'}, {'position': 'Util'}]","[{'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",1.0,1.0,"{'url': 'https://s.yimg.com/iu/api/res/1.2/qGkYKGrgoLSoSNXtRwsQ1g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10222024/4563.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/qGkYKGrgoLSoSNXtRwsQ1g--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10222024/4563.png,,"{'status': False, 'cost': False, 'kept': False}",0,4563,1751231430.0,P,PG,,,1,https://sports.yahoo.com/nba/players/4563
454.p.6698,Dyson Daniels,ATL,"PG,SG,SF",80,333,55,.493,455/923,.593,83/140,1073,449,229,155,nba.p.6698,Atlanta Hawks,nba.t.1,https://sports.yahoo.com/nba/teams/atlanta/,"[{'position': 'PG'}, {'position': 'SG'}, {'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'Util'}]","[{'position': 'G'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/5.KVDl11cA3UFIXIiU1BgA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10212024/6698.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/5.KVDl11cA3UFIXIiU1BgA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10212024/6698.png,,"{'status': False, 'cost': False, 'kept': False}",0,6698,,P,PG,,,5,https://sports.yahoo.com/nba/players/6698
454.p.4612,Stephen Curry,GSW,"PG,SG",311,421,30,.448,564/1258,.933,279/299,1718,310,80,200,nba.p.4612,Golden State Warriors,nba.t.9,https://sports.yahoo.com/nba/teams/golden-state/,"[{'position': 'PG'}, {'position': 'SG'}, {'position': 'G'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'G'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/WEbirq_b9BeoGnWJpZn2Yg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/4612.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/WEbirq_b9BeoGnWJpZn2Yg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10292024/4612.png,Hamstring,"{'status': False, 'cost': False, 'kept': False}",0,4612,,P,PG,GTD,Game Time Decision,30,https://sports.yahoo.com/nba/players/4612
454.p.5765,Jayson Tatum,BOS,"SF,PF",250,431,38,.452,662/1465,.814,358/440,1932,623,76,209,nba.p.5765,Boston Celtics,nba.t.2,https://sports.yahoo.com/nba/teams/boston/,"[{'position': 'SF'}, {'position': 'PF'}, {'position': 'F'}, {'position': 'Util'}, {'position': 'IL+'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'F'}, {'position': 'C'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/qiW23iOjYao1xTiTmGB6WA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10222024/5765.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/qiW23iOjYao1xTiTmGB6WA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10222024/5765.png,Achilles,"{'status': False, 'cost': False, 'kept': False}",0,5765,,P,SF,INJ,Injured (IL-eligible),0,https://sports.yahoo.com/nba/players/5765
454.p.5663,Ivica Zubac,LAC,C,0,214,90,.628,592/942,.661,156/236,1340,1010,55,127,nba.p.5663,LA Clippers,nba.t.12,https://sports.yahoo.com/nba/teams/la-clippers/,"[{'position': 'C'}, {'position': 'Util'}]","[{'position': 'PG'}, {'position': 'G'}, {'position': 'SG'}, {'position': 'SF'}, {'position': 'F'}, {'position': 'PF'}]",,,"{'url': 'https://s.yimg.com/iu/api/res/1.2/803l9g00J.nKlqt5BFfcvw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10222024/5663.png', 'size': 'small'}",https://s.yimg.com/iu/api/res/1.2/803l9g00J.nKlqt5BFfcvw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/10222024/5663.png,,"{'status': False, 'cost': False, 'kept': False}",0,5663,,P,C,,,40,https://sports.yahoo.com/nba/players/5663
